From,To,Value,Group,Attributes
ooNROv,WWmo,43,8,"src_value=61,dest_value=98"
ooNROv,VMC,4,8,"dest_value=16"
ooNROv,XhXB,4,8,"dest_value=60"
ooNROv,njuA,77,8,"dest_value=72"
ooNROv,FjxTe,71,8,"dest_value=39"
ooNROv,mOODWI,81,8,"dest_value=49"
ooNROv,uSiTuw,45,8,"dest_value=22"
ooNROv,HRBj,38,8,"dest_value=98"
ooNROv,AwcGx,34,8,"dest_value=100"
ooNROv,qUIxL,66,8,"dest_value=28"
ooNROv,qlkHRF,56,8,"dest_value=70"
ooNROv,RUH,60,8,"dest_value=48"
ooNROv,GTrpqF,56,8,"dest_value=59"
ooNROv,nOeYb,2,8,"dest_value=75"
ooNROv,gHZM,28,8,"dest_value=16"
ooNROv,nnlW,59,8,"dest_value=78"
ooNROv,nTA,1,8,"dest_value=82"
ooNROv,wBsaRA,6,8,"dest_value=27"
ooNROv,WCHzKV,77,8,"dest_value=11"
VikgsW,WWmo,56,3,"src_value=76"
VikgsW,VMC,50,3
VikgsW,XhXB,24,3
VikgsW,njuA,33,3
VikgsW,FjxTe,25,3
VikgsW,mOODWI,18,3
VikgsW,uSiTuw,25,3
VikgsW,HRBj,52,3
VikgsW,AwcGx,50,3
VikgsW,qUIxL,21,3
VikgsW,qlkHRF,52,3
VikgsW,RUH,59,3
VikgsW,GTrpqF,8,3
CZDzg,WWmo,21,3,"src_value=56"
CZDzg,VMC,27,3
CZDzg,XhXB,96,3
CZDzg,njuA,71,3
CZDzg,FjxTe,23,3
CZDzg,mOODWI,87,3
CZDzg,uSiTuw,72,3
CZDzg,HRBj,67,3
CZDzg,AwcGx,21,3
CZDzg,qUIxL,68,3
CZDzg,qlkHRF,65,3
CZDzg,RUH,81,3
CZDzg,GTrpqF,49,3
CZDzg,nOeYb,56,3
CZDzg,gHZM,64,3
CZDzg,nnlW,23,3
CZDzg,nTA,57,3
moD,WWmo,53,4,"src_value=8"
moD,VMC,14,4
moD,XhXB,36,4
moD,njuA,27,4
moD,FjxTe,18,4
moD,mOODWI,31,4
moD,uSiTuw,58,4
moD,HRBj,11,4
moD,AwcGx,30,4
KvFmMe,WWmo,34,7,"src_value=69"
KvFmMe,VMC,96,7
BMag,WWmo,57,5,"src_value=42"
BMag,VMC,42,5
BMag,XhXB,32,5
BMag,njuA,17,5
BMag,FjxTe,50,5
BMag,mOODWI,36,5
BMag,uSiTuw,56,5
BMag,HRBj,92,5
BMag,AwcGx,53,5
BMag,qUIxL,41,5
BMag,qlkHRF,93,5
BMag,RUH,48,5
BMag,GTrpqF,43,5
BMag,nOeYb,94,5
BMag,gHZM,67,5
BMag,nnlW,85,5
BMag,nTA,8,5
BMag,wBsaRA,97,5
BMag,WCHzKV,16,5
