"Excelsior" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000206156 0
"Crocker Amazon" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Marina" 3 0 0 0.00669784 0.00419501 0.00239236 0.00416624 0.00108829 0.00502462 0 0 0 0.000297246 0 0 0 0 0.000215744 0.00143829 0.00146227 0.00354776 0.000680803 0 0.000508198 0.0103076 0 0.00553268 0.000949286 0.000858196 0 0 0.000354776 0.00142388 0.00737842 0.0124988 0
"Nob Hill" 3 0 0 0.00285739 0.00103076 0.00102118 0.00134241 0.000397928 0.0014191 0 0 0 0.000244511 0 0 0 0 0.000124654 0.00122256 0.000628055 0.00191293 0.000345189 0 0.000335601 0.0051872 0 0.00229649 0.000287658 0.000230127 0 0 0 0.000489004 0.00294848 0.00503862 0
"North Beach" 3 0 0 0.00251701 0.00119858 0.00086777 0.00126568 0.000167801 0.00148142 0 0 0 0.000177388 0 0 0 0 0 0.000767106 0.000517772 0.00117938 0.000340393 0 0.000234919 0.00441553 0.000163004 0.00170199 0.00025889 0.00020136 0 0 0 0.000402719 0.00245947 0.00429568 0
"Pacific Heights" 3 0 0 0.00519714 0.0022054 0.00143829 0.00240672 0.000652036 0.00249781 0 0 0 0.00025889 0 0 0 0 0.000210947 0.00111227 0.000987628 0.00275672 0.000441075 0 0.000450662 0.00796822 0 0.00330326 0.000512985 0.00047943 0 0 0.000186976 0.00111706 0.00550378 0.00963195 0
"Presidio Heights" 3 0 0 0.00184099 0.00068559 0.00029245 0.000800661 0.000186976 0.000695164 0 0 0 0 0 0 0 0 0 0.00027807 0.000206156 0.0005945 0.000177388 0 0 0.00139033 0 0.000834215 0.000206156 0 0 0 0 0.000206156 0.00124654 0.00203279 0
"Russian Hill" 3 0 0 0.00540307 0.00214786 0.00126568 0.00211426 0.000599288 0.00256497 0 0 0 0.000225331 0 0 0 0 0.000163004 0.00109308 0.000791041 0.00251222 0.000465069 0 0.000326013 0.00648649 0 0.00301563 0.000469856 0.000349985 0 0 0.000134241 0.000920518 0.00450662 0.00775732 0
"Visitacion Valley" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Diamond Heights" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Glen Park" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00022054 0 0 0 0.000335601 0 0.000244511 0 0 0 0 0 0 0.000186976 0.000139033 0
"Inner Sunset" 5 0 0 0.000421899 0.000249303 0.000158213 0.000244511 0 0.000263687 0 0 0 0 0 0 0 0 0 0.000426691 0.000345189 0.000795874 0.000210947 0 0 0.00106431 0 0.000584881 0.000167801 0 0 0 0 0.000119858 0.000805448 0.000575307 0
"Lakeshore" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Outer Mission" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000167801 0 0 0 0 0 0 0 0 0 0 0
"West Of Twin Peaks" 5 0 0 0.000167801 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000158213 0 0 0 0.000378748 0 0.000143829 0 0 0 0 0 0 0.000158213 0.000167801 0
"Bayview" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000124654 0 0 0 0.000196568 0 0 0 0 0 0 0 0 0.000115061 0.000153417 0
"Bernal Heights" 6 0 0 0.000186976 0.000225331 0.000143829 0.000239715 0 0.000225331 0 0 0 0.000119858 0 0 0 0 0.000206156 0.000666397 0.000326013 0.00135677 0.000273274 0 0.000249303 0.00195127 0 0.000848577 0 0 0 0 0 0 0.000886964 0.000882131 0
"Castro" 6 0 0 0.00152459 0.00131365 0.000757487 0.000973221 0.000210947 0.001189 0 0 0 0.000436279 0 0 0 0 0.000604075 0.00214303 0.00170677 0.00490946 0.00104038 0 0.000915731 0.0110654 0.000426691 0.00376833 0.000584881 0.000402719 0.000124654 0 0.000297246 0.00047943 0.00470804 0.00425733 0
"Haight" 6 0 0 0.00158692 0.000915731 0.000608862 0.000963647 0.000234919 0.00102597 0 0 0 0.000297246 0 0 0 0 0.000182184 0.00127047 0.000728719 0.00340876 0.000575307 0 0.000431487 0.00489004 0 0.0021862 0.000345189 0.000330805 0.000119858 0 0.000143829 0.000522559 0.00291492 0.00352862 0
"Mission" 6 0 0 0.00371558 0.00300601 0.00147663 0.00253137 0.000484217 0.00245469 0 0 0.00027807 0.000949286 0 0.000129445 0.000124654 0.000148625 0.00122734 0.00512985 0.00372037 0.0082988 0.00257933 0 0.00277592 0.0197142 0.00029245 0.00735945 0.000810235 0.000623268 0.000273274 0 0.000345189 0.00106914 0.00806396 0.00966537 0
"Noe" 6 0 0 0.000925305 0.000580094 0.000388336 0.000522559 0.000119858 0.00066161 0 0 0 0.000263687 0 0 0 0 0.000206156 0.00131365 0.00077668 0.00264644 0.00025889 0 0.000441075 0.00375392 0 0.00160128 0.000230127 0.000119858 0 0 0.000143829 0.000330805 0.0018362 0.00273274 0
"Parkside" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000148625 0 0 0 0 0 0 0 0 0 0 0
"Potrero" 6 0 0 0.000925305 0.000690377 0.000503411 0.000642416 0 0.000704739 0 0 0 0.000191772 0 0 0 0 0.000383544 0.00131843 0.000709571 0.00374914 0.000604075 0 0.000632842 0.00619429 0.000124654 0.00199924 0.000182184 0 0 0 0 0.000388336 0.00290535 0.0039553 0
"South Of Market" 6 0.000115061 0 0.013304 0.00827035 0.00621326 0.00714358 0.00136639 0.00868718 0 0 0.000556159 0.00152938 0 0.000345189 0.00036916 0.00031163 0.00242592 0.011559 0.00622771 0.0225954 0.00380189 0.000158213 0.00665448 0.0428276 0.000445871 0.0168713 0.00165402 0.000997202 0.000263687 0 0.000791041 0.00339435 0.0221258 0.0368009 0
"Twin Peaks" 6 0 0 0 0 0.000225331 0 0 0 0 0 0 0 0 0 0 0 0 0.00029245 0 0.000383544 0 0 0 0.00068559 0 0.00020136 0 0 0 0 0 0 0.000297246 0.000340393 0
"Western Addition" 6 0 0 0.00609855 0.00330805 0.00173075 0.00264644 0.000666397 0.00339914 0 0 0.000239715 0.000642416 0 0 0.000158213 0 0.000695164 0.00388819 0.00278549 0.00767106 0.00142872 0 0.00158692 0.0164395 0.000167801 0.00639074 0.000939667 0.000810235 0.000196568 0 0.000613649 0.0015917 0.00823196 0.0106625 0
"Inner Richmond" 7 0 0 0.00106431 0.000445871 0.000254099 0.000589713 0.000129445 0.000536965 0 0 0 0.000153417 0 0 0 0 0 0.000599288 0.000489004 0.000901325 0.000254099 0 0.000143829 0.00158692 0 0.000954073 0.000215744 0.000230127 0 0 0 0.000225331 0.0014335 0.00135199 0
