ALABAMA:1	{{{-86.413 32.7074} {-86.4116 32.4099} {-86.4116 32.4099} {-86.497 32.3444} {-86.497 32.3444} {-86.7231 32.4053} {-86.815 32.3408} {-86.815 32.3408} {-86.9065 32.5429} {-86.917 32.6641} {-86.917 32.6641} {-86.7149 32.6617} {-86.7142 32.7057} {-86.413 32.7074}}}	0.097
ALABAMA:3	{{{-87.7651 31.2973} {-87.6158 31.2444} {-87.6158 31.2444} {-87.5989 30.9975} {-87.5989 30.9975} {-87.6348 30.8659} {-87.53 30.7427} {-87.4069 30.6752} {-87.4327 30.4843} {-87.4327 30.4843} {-87.3904 30.4462} {-87.5598 30.272} {-87.8383 30.2272} {-87.9686 30.2346} {-87.7471 30.2885} {-87.9069 30.4104} {-87.9022 30.5423} {-87.9377 30.7151} {-88.0192 30.7449} {-88.0192 30.7449} {-88.0203 30.7677} {-88.0203 30.7677} {-88.002 30.7869} {-88.002 30.7869} {-87.9406 31.0497} {-87.9729 31.1627} {-87.9729 31.1627} {-87.9467 31.1929} {-87.9467 31.1929} {-87.7651 31.2973}}}	0.091
ALABAMA:5	{{{-85.0559 32.0631} {-85.0681 31.9917} {-85.0681 31.9917} {-85.1406 31.858} {-85.141 31.7805} {-85.141 31.7805} {-85.1273 31.7627} {-85.1273 31.7627} {-85.216 31.7024} {-85.4159 31.7066} {-85.4163 31.6194} {-85.4163 31.6194} {-85.7483 31.618} {-85.7483 31.618} {-85.7163 31.6606} {-85.7163 31.6606} {-85.6578 31.8803} {-85.6578 31.8803} {-85.5864 31.9973} {-85.4285 32.0149} {-85.4105 32.1466} {-85.4105 32.1466} {-85.258 32.1479} {-85.1851 32.0618} {-85.0559 32.0631}}}	0.134
ALABAMA:7	{{{-86.8811 33.0498} {-86.876 32.8363} {-87.0192 32.837} {-87.0192 32.837} {-87.3193 32.8315} {-87.4212 32.8745} {-87.4212 32.8745} {-87.422 33.0034} {-87.422 33.0034} {-87.3186 33.0061} {-87.282 33.1331} {-87.0663 33.2469} {-87.0663 33.2469} {-87.0271 33.2464} {-87.0271 33.2464} {-87.0257 33.1658} {-86.8811 33.0498}}}	0.121
ALABAMA:9	{{{-86.4529 34.2593} {-86.3035 34.0991} {-86.3035 34.0991} {-86.3262 33.9401} {-86.3262 33.9401} {-86.4084 33.8342} {-86.5774 33.802} {-86.5742 33.7652} {-86.5742 33.7652} {-86.759 33.8405} {-86.9536 33.8153} {-86.9536 33.8153} {-86.9633 33.8584} {-86.9633 33.8584} {-86.917 33.9156} {-86.7626 33.9759} {-86.7045 34.0805} {-86.6 34.1206} {-86.5196 34.2516} {-86.4529 34.2593}}}	0.099
ALABAMA:11	{{{-85.4335 32.2345} {-85.4105 32.1466} {-85.4105 32.1466} {-85.4285 32.0149} {-85.5864 31.9973} {-85.6578 31.8803} {-85.6578 31.8803} {-85.7914 31.8804} {-85.7899 31.9672} {-85.8843 31.9672} {-85.8937 32.0474} {-85.997 32.051} {-85.997 32.051} {-85.9992 32.2505} {-85.9191 32.2744} {-85.9191 32.2744} {-85.8545 32.232} {-85.4335 32.2345}}}	0.164
ALABAMA:13	{{{-86.4482 31.9646} {-86.4486 31.6556} {-86.4995 31.6552} {-86.4992 31.5253} {-86.4992 31.5253} {-86.7016 31.5239} {-86.7016 31.5239} {-86.8394 31.5253} {-86.9069 31.6327} {-86.9058 31.753} {-86.9058 31.753} {-86.9069 31.8306} {-86.9069 31.8306} {-86.9091 31.9617} {-86.8577 31.9622} {-86.8577 31.9622} {-86.4482 31.9646}}}	0.167
ALABAMA:15	{{{-85.796 33.5562} {-85.7953 33.5855} {-85.9949 33.5865} {-86.0516 33.6746} {-86.1456 33.6791} {-86.1456 33.6791} {-86.0451 33.7715} {-86.0652 33.8421} {-86.0652 33.8421} {-85.8998 33.943} {-85.739 33.9685} {-85.739 33.9685} {-85.5301 33.9414} {-85.5301 33.9414} {-85.6363 33.8759} {-85.6388 33.6484} {-85.796 33.5562}}}	0.108
ALABAMA:17	{{{-85.2325 33.1081} {-85.1841 32.8704} {-85.1841 32.8704} {-85.1352 32.7465} {-85.1352 32.7465} {-85.5932 32.7285} {-85.5932 32.7285} {-85.5932 33.1073} {-85.5932 33.1073} {-85.2325 33.1081}}}	0.186
ALABAMA:19	{{{-85.4622 34.2863} {-85.422 34.0808} {-85.422 34.0808} {-85.3987 33.9641} {-85.3987 33.9641} {-85.5301 33.9414} {-85.5301 33.9414} {-85.739 33.9685} {-85.739 33.9685} {-85.8438 34.2} {-85.8438 34.2} {-85.6359 34.3669} {-85.5139 34.5242} {-85.5139 34.5242} {-85.4622 34.2863}}}	0.118
ALABAMA:21	{{{-86.5171 33.0207} {-86.4579 32.8153} {-86.375 32.7536} {-86.375 32.7536} {-86.413 32.7074} {-86.413 32.7074} {-86.7142 32.7057} {-86.7149 32.6617} {-86.917 32.6641} {-86.917 32.6641} {-87.0178 32.6633} {-87.0178 32.7291} {-87.0178 32.7291} {-87.0192 32.837} {-87.0192 32.837} {-86.876 32.8363} {-86.8811 33.0498} {-86.8811 33.0498} {-86.8818 33.0719} {-86.6104 33.0699} {-86.5171 33.0207}}}	0.099
ALABAMA:23	{{{-88.0734 31.9901} {-88.1789 31.8103} {-88.0888 31.6992} {-88.0888 31.6992} {-88.4643 31.6978} {-88.4643 31.6978} {-88.4736 31.8938} {-88.4736 31.8938} {-88.4313 32.2276} {-88.4313 32.2276} {-88.4216 32.3087} {-88.4216 32.3087} {-87.9306 32.3106} {-87.9306 32.3106} {-88.0196 32.2849} {-88.044 32.0829} {-88.1186 32.0524} {-88.0734 31.9901}}}	0.127
ALABAMA:25	{{{-87.6678 31.9913} {-87.6201 31.8271} {-87.5013 31.8292} {-87.5013 31.8292} {-87.516 31.6978} {-87.567 31.6971} {-87.5655 31.5535} {-87.6215 31.5136} {-87.5741 31.4342} {-87.7052 31.4018} {-87.7651 31.2973} {-87.7651 31.2973} {-87.9467 31.1929} {-87.9467 31.1929} {-87.9693 31.2585} {-87.8871 31.3899} {-87.9399 31.3751} {-87.9058 31.4918} {-88.0795 31.602} {-88.0888 31.6992} {-88.0888 31.6992} {-88.1789 31.8103} {-88.0734 31.9901} {-88.0734 31.9901} {-87.6678 31.9913}}}	0.17
ALABAMA:27	{{{-85.6435 33.4958} {-85.6535 33.1066} {-85.6535 33.1066} {-86.0092 33.0902} {-86.0092 33.0902} {-86.1743 33.1044} {-86.1743 33.1044} {-86.118 33.2962} {-85.9805 33.2942} {-85.9048 33.4986} {-85.852 33.4986} {-85.852 33.4986} {-85.6435 33.4958}}}	0.159
